,lmp_node,matched_source_sink,match_score
2260,MDU LTLMUDDY LTLMUD115MDU,MDU.ELLNDL_LD,53
2261,OTP BENSON VICHAN,OTP.BENSON.ARR,65
2262,DPC GLENWOO GLENWO2,DPC.GENOA3,55
2263,ALTE LAPRAIRI RC9_LAP_12KV1,ALTE.PAR_1.AZ,55
2264,CONS WCLKJ WCLKJ,CONS.LBWL.CSEL,67
2265,NSP COTTAGE TR2,NSP.COYOTE,64
2266,NSP W_FARIB TR7,NSP.W_TRIW_TR,64
2267,AECI HAMBURG CSJ6T1,EAI.AECCOSWST1,55
2268,CONS EVNSN EVNSN_T1,CONS.KENCNTY1,62
2269,GRE PLSNTLAK GRE_TR1,GRE.MP.GRE,60
2270,LAFA LUKE T90B,LAFA.LAFA,52
2271,CONS NFIBRE BANK_1,CONS.BRANCH,55
2272,EAI MRK_TREE LT1,ALTW.BENT_TREE,60
2273,LGEE LWISCKBR LEWISCREEK,EES.GEISMAR,46
2274,WEC MAPLE002 L7,WEC.EITM_LZ02,57
2275,WPS AMBERG BK1_UMERC,WPS.UMERC,62
2276,GRE TRIPPLAK GRE_TR1,GRE.MP.GRE,60
2277,EES DORSEY MV_A,EES.HOUMA.ARR,57
2278,MEC SB_UIC TR3,MEC.VICTRM_1,62
2279,BREC GUFFIE GUFFIE,BREC.GREEN1,55
2280,MEC AMUGLRD GLRDT1,MEC.LAUREL_1,60
2281,MP SHINGOBE TR_GRE1,MEC.SHENDO_1,52
2282,WAUE COGSWEL COGSWE2,CONS.LBWL.CSEL,59
2283,EAI HSMTVL T1,EAI.H_SPR1_CT1,59
2284,EMBA JAXSNS T2,EMBA.HINDS2,64
2285,WAUE LRNS LRNS2,WEC.GLACRHLS,52
2286,DECO HANCOCK3 COMLKHANCK3_1,DECO.CMS_AK,47
2287,ALTW BATLAKE BATLAK1,ALTW.LOSTLAKES,65
2288,DPC FLAREDPC FLARED1,DPC.FILMOR.SLR,59
2289,EES AMCYAN T4,EES.CONC,57
2290,CONS KETNG KETNG_T2,CONS.RENAIGEN2,67
2291,NIPS PIDCO PIDCO2,NIPS.NIPS,54
2292,GRE LAWNDALG GRE_TR1,GRE.NSP.GREC,56
2293,EES BOUDIN T1,EES.CONC,57
2294,SMP WESTSIDE WSTSDE1,NSP.WESTSID1,69
2295,AMIL NCHAMPGN TR6,AMIL.MP2N,62
2296,ALTW PERRYD PERRYD2,ALTW.EMERY32,65
2297,NIPS MITTALBH MITTALBH_NET,NIPS.MITCH.ARR,55
2298,SIGE WARRICKW PL5,SIGE.WAR4SIGE,60
2299,DECO FOWLR XF1,DECO.OLIVRP11,67
